route,page_name,route_type,source_file,page_purpose,primary_heading,main_audience,parent_section,in_primary_nav,in_footer,auth_required,incoming_links,outgoing_links,content_status,current_copy_summary,content_themes,possible_old_site_match,issues_or_notes
"/","Home","Public page","src/app/page.tsx","Primary marketing front door and quote-intake path.","Custom Homes Built With Precision in Northern Colorado","Prospective homeowners and commercial clients","Home","Logo only","No","No","Header logo from shared public pages; auth and portal home links; direct URL","Page anchors #contact and #projects; /services/custom-elevators; /why-kiefer-built; /api/quote-request through form","Complete; owner verification needed","Hero promises builder-led custom homes, renovations, and commercial work; proof points claim 25+ years and 200+ completed homes/projects; sections cover trust, real project work, elevators, building performance, process, commercial work, service area, and quote intake.","Core company messaging; craftsmanship; communication; custom homes; remodeling; commercial; long-term value; calls to action","Homepage","25+/200+/since-1999 claims need owner evidence; global JSON-LD process and service-area copy differ from visible copy."
"/about","About / Our Story","Public page","src/app/about/page.tsx","Explain the family-run company, values, and operating style.","Relentless Pursuit of Perfection","Prospective clients","About","Yes","No","No","Header About menu; /why-kiefer-built/quality","/about/team; /#contact; global header destinations","Complete; owner verification needed","Family-builder narrative centered on Mark, Mindy, and Miles; clear expectations, modern project visibility, and traditional accountability.","Core company messaging; family ownership; trust; communication; craftsmanship","About Us / Company Story","Leadership history and family-role statements should be reconciled with owner-approved legacy copy."
"/about/accolades","Accolades","Public page","src/app/about/accolades/page.tsx","Present awards and performance recognition.","Awards, Press, and Performance Recognition","Prospective clients seeking credibility","About","Yes","No","No","Header About menu","/#contact; global header destinations","Partial; claims need verification","Cards claim a 2025 SIPA Building Excellence Award, Best of Houzz Service recognition, and performance-focused building.","Trust and credibility; awards; energy efficiency; service","Awards / Press","No citations or outbound proof links accompany award claims; dates, categories, and current award status require owner/source verification."
"/about/team","Team","Public page","src/app/about/team/page.tsx","Introduce company leadership and responsibilities.","The Kiefer Built Team","Prospective clients and recruits","About","Yes","No","No","Header About menu; /about; /why-kiefer-built/quality","/#contact; global header destinations","Complete; owner verification needed","Profiles Mark Kiefer as Owner, Mindy as CFO, Miles as Estimator & Project Manager, and Marlys as COO; stresses direct accountability.","Core company messaging; family team; accountability; communication","Team / Leadership","Names, titles, and role descriptions should be checked against the older approved site and current organization."
"/admin","Command Center","Admin page","src/app/admin/page.tsx","Operations dashboard for projects, leads, tasks, files, time, and portfolio totals.","Command Center","Kiefer Built managers and admins","Admin / Reports","Yes in admin navigation","No","Yes in production; bypassed in demo mode","/login; AdminShell logo; Summary, Command Center, Client Updates navigation aliases","/admin/projects; /admin/time; project update/comment/file/change-order/task forms; /admin/schedule; /admin/leads; /admin/tasks","Functional with demo fallback","Dense operational dashboard with selected-job activity, sales follow-up, tasks, project totals, and quick actions.","Administrative content; operations; CRM; project management","None - operations-only","Admin search and notification controls have no implemented behavior; demo data can appear when demo mode is enabled."
"/admin/bills","Bills","Admin page","src/app/admin/bills/page.tsx","List vendor bills and connect them to jobs.","Bills","Admins and finance staff","Admin / Financial","Yes","No","Yes in production; bypassed in demo mode","Admin Financial navigation; /admin/reports","/admin/projects; /admin/projects/[projectId]","Functional with demo fallback","Vendor Bills register with job, vendor, status, due date, and amount context.","Administrative content; finance; purchasing","None - operations-only","No dedicated bill detail route; bill creation begins from a project detail."
"/admin/change-orders","Change Orders","Admin page","src/app/admin/change-orders/page.tsx","List scope changes and approval status.","Change Orders","Admins and project managers","Admin / Project Management","Yes","No","Yes in production; bypassed in demo mode","Admin navigation; /admin/reports; project create flow; portal approval revalidation","/admin/change-orders/[changeOrderId]","Functional with demo fallback","Change-order register focused on scope, status, client approval, schedule impact, and value.","Administrative content; scope control; approvals; finance","None - operations-only","Data is demo-backed when Supabase is unavailable or demo mode is on."
"/admin/change-orders/[changeOrderId]","Change Order Detail","Admin page; Dynamic","src/app/admin/change-orders/[changeOrderId]/page.tsx","Show one change order, line items, totals, client message, and approval state.","Dynamic change-order title","Admins and project managers","Admin / Project Management","No - reached from list/project","No","Yes in production; bypassed in demo mode","/admin/change-orders; /admin/projects/[projectId]; successful change-order creation","/admin/change-orders; /admin/change-orders/[changeOrderId]/download","Functional; 404 for unknown ID","Detailed scope and pricing record with branded PDF download.","Administrative content; scope control; approvals; PDF","None - operations-only","Dynamic ID must resolve; handler protection relies on /admin proxy when not in demo mode."
"/admin/change-orders/[changeOrderId]/download","Change Order PDF Download","Admin handler; Dynamic","src/app/admin/change-orders/[changeOrderId]/download/route.tsx","Generate a branded change-order PDF.","N/A - Route Handler","Admins and project managers","Admin / Project Management","No","No","Yes in production through proxy; bypassed in demo mode","Change-order detail download button","PDF response or 404","Functional request handler","Builds a PDF from change order, project, client, and logo data.","Administrative content; document export","None - operations-only","No explicit getCurrentAdmin check in the handler; it relies on src/proxy.ts, which intentionally skips auth in demo mode."
"/admin/comments","Comments","Admin page","src/app/admin/comments/page.tsx","Aggregate project comments across jobs.","Comments","Admins and project managers","Admin / Messaging","Yes","No","Yes in production; bypassed in demo mode","Admin Messaging navigation; project comment creation","/admin/projects; /admin/projects/[projectId]","Functional with demo fallback","Recent Comments log organized by project and author.","Administrative content; communication","None - operations-only","Creation is only exposed from project detail pages."
"/admin/daily-logs","Daily Logs","Admin page","src/app/admin/daily-logs/page.tsx","Aggregate field reports and jobsite records.","Daily Logs","Admins, field managers, and project managers","Admin / Project Management","Yes","No","Yes in production; bypassed in demo mode","Admin navigation; project field-report creation","/admin/projects; /admin/projects/[projectId]","Functional with demo fallback","Kiefer Built Jobsite Record listing weather, crew, work, deliveries, inspections, delays, and next steps.","Administrative content; field reporting","None - operations-only","Creation lives under each project."
"/admin/finance-snapshots/[snapshotId]/download","Finance Snapshot Export","Admin handler; Dynamic","src/app/admin/finance-snapshots/[snapshotId]/download/route.ts","Download one saved finance review as text.","N/A - Route Handler","Admins and finance staff","Admin / Financial","No","No","Yes; explicit admin check, with demo admin in demo mode","/admin/finance-tools","Text download; 401/404 possible","Functional request handler","Exports project finance inputs and calculated outputs for lender, owner, or accounting review.","Administrative content; finance; export","None - operations-only","Returns plain text rather than PDF/CSV; runtime result depends on stored snapshot availability."
