"URL","Page Name","Page Purpose","Parent","Navigation Source","Primary CTA","Secondary CTA","Hero Summary","Main Sections","Trust Elements","Interactive Elements","Internal Links","External Links","Screenshots","Issues","Notes"
"https://www.builtbykiefer.com/","Custom Homes Built With Precision in Northern Colorado","Primary marketing front door for custom homes, renovations, commercial work, education, project proof, and quote intake.","","Crawl root; global logo destination","START A PROJECT -> https://www.builtbykiefer.com/#contact","VIEW PROJECTS -> https://www.builtbykiefer.com/#projects","Custom Homes Built With Precision in Northern Colorado Kiefer Built Contracting creates custom homes, renovations, and commercial spaces with disciplined planning, premium craftsmanship, and a builder-led process from first conversation to final walkthrough. START A PROJECT VIEW PROJECTS 25+ Years building in Colorado 200+ Homes and projects completed NoCO Northern Colorado focus","Built around trust, not shortcuts. | Real project work, moving across the page. | Custom elevators for homes, designers, and long-term access. | Built better, from the envelope in. | A disciplined process from consultation to closeout. | Commercial spaces built around function, durability, and schedule. | Serving Windsor and Northern Colorado. | Tell Kiefer Built what you want to build.","25+ years; 200+ homes/projects; Northern Colorado focus; real project photography; EPS partnership.","1 form; auto-moving project carousel; anchor CTAs; quote form","/#main-content | / | /careers | /#contact | /#projects | /services/custom-elevators | /why-kiefer-built","https://epsbuildings.com | https://www.facebook.com/KieferBuiltContracting | https://www.instagram.com/kieferbuiltco | https://kbuiltco.com | https://nexgenstudio.io","screenshots/home--full.png | screenshots/home--hero.png | screenshots/home--form.png | screenshots/navigation--desktop--about.png | screenshots/navigation--desktop--why-kiefer-built.png | screenshots/navigation--desktop--service.png | screenshots/navigation--desktop--our-work.png | screenshots/navigation--desktop--contact-us.png | screenshots/navigation--mobile--runtime-expanded.png","","Runtime HTTP 200; 25 images; 7 buttons; forms were inspected but not submitted."
"https://www.builtbykiefer.com/about","Relentless Pursuit of Perfection","Explain the family-run company story, owner-led approach, communication model, and accountability.","/","Desktop/mobile About navigation","START A PROJECT -> https://www.builtbykiefer.com/#contact","MEET THE TEAM -> https://www.builtbykiefer.com/about/team","Relentless Pursuit of Perfection Kiefer Built Contracting is a family-run Northern Colorado builder focused on trust, communication, craftsmanship, and spaces that work as well as they look. START A PROJECT MEET THE TEAM Family Owner-led approach NoCO Northern Colorado focus Craft Detail-first construction","A family builder with a practical eye for the details. | Trust starts with clear expectations. | Modern tools, traditional accountability. | Ready to talk through a project?","Family/owner-led framing, Northern Colorado focus, accountability and communication promises.","Links/buttons only","/about#main-content | / | /careers | /#contact | /about/team","https://epsbuildings.com | https://www.facebook.com/KieferBuiltContracting | https://www.instagram.com/kieferbuiltco | https://kbuiltco.com | https://nexgenstudio.io","screenshots/about--full.png | screenshots/about--hero.png | screenshots/about--start-project-destination.png","Canonical points to homepage instead of this route; Generic homepage title/description reused; Absent from runtime sitemap.xml","Runtime HTTP 200; 5 images; 6 buttons; forms were inspected but not submitted."
"https://www.builtbykiefer.com/about/accolades","Awards, Press, and Performance Recognition","Present awards, press, service recognition, and performance credentials.","/about","Desktop/mobile About navigation","START A PROJECT -> https://www.builtbykiefer.com/#contact","","Awards, Press, and Performance Recognition Recognition for energy-efficient building, customer service, and construction quality in Northern Colorado. START A PROJECT","Ready to talk through a project?","2025 SIPA Building Excellence Award, Best of Houzz Service, and performance-recognition cards.","Links/buttons only","/about/accolades#main-content | / | /careers | /#contact","https://epsbuildings.com | https://www.facebook.com/KieferBuiltContracting | https://www.instagram.com/kieferbuiltco | https://kbuiltco.com | https://nexgenstudio.io","screenshots/about--accolades--full.png | screenshots/about--accolades--hero.png","Canonical points to homepage instead of this route; Generic homepage title/description reused; Absent from runtime sitemap.xml; Awards/recognition claims should retain owner/source evidence","Runtime HTTP 200; 6 images; 6 buttons; forms were inspected but not submitted."
"https://www.builtbykiefer.com/about/team","The Kiefer Built Team","Introduce Mark, Mindy, Miles, and Marlys Kiefer and reinforce close-to-the-work leadership.","/about","Desktop/mobile About navigation","START A PROJECT -> https://www.builtbykiefer.com/#contact","","The Kiefer Built Team Meet the family leadership behind Kiefer Built Contracting: Mark Kiefer, Mindy Kiefer, Miles Kiefer, and Marlys Kiefer. START A PROJECT","A small leadership team keeps decisions close to the work. | Ready to talk through a project?","Named family leadership with portrait photography.","Links/buttons only","/about/team#main-content | / | /careers | /#contact","https://epsbuildings.com | https://www.facebook.com/KieferBuiltContracting | https://www.instagram.com/kieferbuiltco | https://kbuiltco.com | https://nexgenstudio.io","screenshots/about--team--full.png | screenshots/about--team--hero.png","Canonical points to homepage instead of this route; Generic homepage title/description reused; Absent from runtime sitemap.xml","Runtime HTTP 200; 7 images; 6 buttons; forms were inspected but not submitted."
"https://www.builtbykiefer.com/blog","Kiefer Built Journal","Preview educational journal topics about SIPs, efficiency, modern homes, and Colorado building.","/","Desktop/mobile About navigation","START A PROJECT -> https://www.builtbykiefer.com/#contact","","Kiefer Built Journal Practical notes on energy-efficient construction, SIPs, modern homes, and projects built for Northern Colorado conditions. START A PROJECT","Ready to talk through a project?","Kiefer branding, real construction photography where present, repeated EPS partnership footer, and direct phone/email paths where present.","Links/buttons only","/blog#main-content | / | /careers | /#contact","https://epsbuildings.com | https://www.facebook.com/KieferBuiltContracting | https://www.instagram.com/kieferbuiltco | https://kbuiltco.com | https://nexgenstudio.io","screenshots/blog--full.png | screenshots/blog--hero.png","Canonical points to homepage instead of this route; Generic homepage title/description reused; Absent from runtime sitemap.xml; Journal cards have no article links or detail pages","Runtime HTTP 200; 7 images; 6 buttons; forms were inspected but not submitted."
"https://www.builtbykiefer.com/careers","Build Your Future With Kiefer Built Contracting","Recruit project managers, carpenters, and trade partners through email or team contact.","/","Desktop top-level and mobile navigation","EMAIL YOUR RESUME -> mailto:info@kbuiltco.com?subject=Careers%20at%20Kiefer%20Built%20Contracting","CONTACT THE TEAM -> https://www.builtbykiefer.com/contact","Build Your Future With Kiefer Built Contracting Join a Northern Colorado builder that values craftsmanship, steady communication, and people who take pride in doing the work right. EMAIL YOUR RESUME CONTACT THE TEAM","A construction career with real projects and accountable standards. | Why work with Kiefer Built? | Ready to talk through a project?","Family/owner-led brand, role cards, and direct company email path.","Links/buttons only","/careers#main-content | / | /careers | /contact | /#contact","https://epsbuildings.com | https://www.facebook.com/KieferBuiltContracting | https://www.instagram.com/kieferbuiltco | https://kbuiltco.com | https://nexgenstudio.io","screenshots/careers--full.png | screenshots/careers--hero.png","Canonical points to homepage instead of this route; Generic homepage title/description reused; Absent from runtime sitemap.xml","Runtime HTTP 200; 6 images; 6 buttons; forms were inspected but not submitted."
"https://www.builtbykiefer.com/contact","Built by Kiefer | Custom Home Builder in Windsor & Northern Colorado","Collect structured quote requests and expose phone, email, and Windsor location details.","/","Desktop/mobile Contact Us navigation","(970) 515-5059 -> tel:+19705155059","info@kbuiltco.com -> mailto:info@kbuiltco.com","GET A FREE QUOTE Tell Kiefer Built what you want to build. Share the project type, location, rough budget, and timing. The form sends a structured quote request to Kiefer Built so the first follow-up starts with the right details. PHONE (970) 515-5059 EMAIL info@kbuiltco.com LOCATION Windsor, Colorado Name Email Phone Project location Project type Select one Custom home Kitchen remodel Bathroom remodel Addition Base…","Tell Kiefer Built what you want to build.","Kiefer branding, real construction photography where present, repeated EPS partnership footer, and direct phone/email paths where present.","1 form","/contact#main-content | / | /careers","https://epsbuildings.com | https://www.facebook.com/KieferBuiltContracting | https://www.instagram.com/kieferbuiltco | https://kbuiltco.com | https://nexgenstudio.io","screenshots/contact--full.png | screenshots/contact--hero.png | screenshots/contact--form.png","Missing H1; Canonical points to homepage instead of this route; Generic homepage title/description reused; Absent from runtime sitemap.xml","Runtime HTTP 200; 2 images; 7 buttons; forms were inspected but not submitted."
"https://www.builtbykiefer.com/demo-slider","Before/After Slider Demo","Demonstrate a reusable before/after image slider and show implementation instructions.","/","Direct URL only","← Back to Home -> https://www.builtbykiefer.com/","","Before/After Slider Demo Interactive transformation showcase for construction projects ← Back to Home","See The Difference | Quick Start Guide","Kiefer branding, real construction photography where present, repeated EPS partnership footer, and direct phone/email paths where present.","three draggable before/after comparisons","/","","screenshots/demo--slider--full.png | screenshots/demo--slider--hero.png | screenshots/demo--slider--interacted.png","Canonical points to homepage instead of this route; Generic homepage title/description reused; Absent from runtime sitemap.xml; Not linked from global navigation; direct-URL-only; Development demo and implementation code exposed publicly","Runtime HTTP 200; 6 images; 0 buttons; forms were inspected but not submitted."
"https://www.builtbykiefer.com/estimate","Plan Your Project With A Contractor's Lens","Provide a browser-side early planning-range calculator for common renovation and addition types.","/","Direct URL only; self-anchor and quote CTAs","START PLANNING -> https://www.builtbykiefer.com/estimate#planner","REQUEST A QUOTE -> https://www.builtbykiefer.com/#contact","Plan Your Project With A Contractor's Lens Use the Kiefer Built Project Cost Planner to get an early range for remodels, additions, exterior work, and finish upgrades before a full site review. START PLANNING REQUEST A QUOTE KIEFER BUILT PLANNING TOOL The calculator packages standard planning math in a Kiefer Built workflow so clients can begin the budget conversation with realistic expectations.","What type of project are you planning? | Select the finish level | Start With A Realistic Range","Kiefer branding, real construction photography where present, repeated EPS partnership footer, and direct phone/email paths where present.","1 form; project/finish selectors; local range calculator","/estimate#main-content | / | /careers | /estimate#planner | /#contact","https://epsbuildings.com | https://www.facebook.com/KieferBuiltContracting | https://www.instagram.com/kieferbuiltco | https://kbuiltco.com | https://nexgenstudio.io","screenshots/estimate--full.png | screenshots/estimate--hero.png | screenshots/estimate--form.png | screenshots/estimate--calculated-range.png","Canonical points to homepage instead of this route; Generic homepage title/description reused; Absent from runtime sitemap.xml; Not linked from global navigation; direct-URL-only","Runtime HTTP 200; 3 images; 16 buttons; forms were inspected but not submitted."
"https://www.builtbykiefer.com/flipbook","Kiefer Built Project Lookbook","Present a visual lookbook spanning custom homes, efficient builds, commercial work, renovations, and finishes.","/","Desktop/mobile Our Work navigation","VIEW GALLERY -> /projects","START A PROJECT -> /#contact","Kiefer Built Project Lookbook A professional digital flipbook for clients who want to understand the range of Kiefer Built work before starting a conversation. INSIDE THE LOOKBOOK Custom homes SIP/EPS builds Commercial spaces Renovations Finish details Process","Custom Homes | Efficient Builds | Commercial Spaces | Renovations | Finish Work | Use the lookbook to start a better project conversation.","Kiefer branding, real construction photography where present, repeated EPS partnership footer, and direct phone/email paths where present.","Links/buttons only","/flipbook#main-content | / | /careers | /projects | /#contact","https://epsbuildings.com | https://www.facebook.com/KieferBuiltContracting | https://www.instagram.com/kieferbuiltco | https://kbuiltco.com | https://nexgenstudio.io","screenshots/flipbook--full.png | screenshots/flipbook--hero.png","Canonical points to homepage instead of this route; Generic homepage title/description reused; Absent from runtime sitemap.xml","Runtime HTTP 200; 7 images; 6 buttons; forms were inspected but not submitted."
"https://www.builtbykiefer.com/login","Admin Access","Provide a one-click entry into the production Demo Admin console.","Authentication","Direct URL only","ENTER DEMO CONSOLE -> https://www.builtbykiefer.com/admin","","OPERATIONS CONSOLE Admin Access Demo mode is enabled for local walkthroughs until Supabase credentials are connected. Allowed admin demo-admin@kbuiltco.com Demo mode: enabled ENTER DEMO CONSOLE","","Explicit Demo Mode label and displayed demo-admin address; this is an exposure indicator, not customer trust proof.","Links/buttons only","/admin","","screenshots/login--full.png | screenshots/login--hero.png","Canonical points to homepage instead of this route; Generic homepage title/description reused; Absent from runtime sitemap.xml; Not linked from global navigation; direct-URL-only; Indexable login page inherits marketing canonical, metadata, and HomeBuilder/FAQ structured data; One-click Demo Admin entry is live in production","Runtime HTTP 200; 1 images; 0 buttons; forms were inspected but not submitted."
"https://www.builtbykiefer.com/portal/login","Client Access","Offer client email/password and email-link sign-in forms.","Client portal","Direct URL only","SIGN IN -> local action","EMAIL ME A CLIENT SIGN-IN LINK -> local action","KIEFER BUILT CLIENT PORTAL Client Access Sign in to view project progress, photos, daily logs, selections, change orders, invoices, and items needing attention. Email Password SIGN IN Email link EMAIL ME A CLIENT SIGN-IN LINK","","Realistic demo client identity, project progress, financial balance, and attention counts.","2 forms","/","","screenshots/portal--login--full.png | screenshots/portal--login--hero.png | screenshots/portal--login--form.png","Canonical points to homepage instead of this route; Generic homepage title/description reused; Absent from runtime sitemap.xml; Not linked from global navigation; direct-URL-only; Indexable login page inherits marketing canonical, metadata, and HomeBuilder/FAQ structured data","Runtime HTTP 200; 1 images; 4 buttons; forms were inspected but not submitted."
"https://www.builtbykiefer.com/process","A Design-Build Approach","Describe the consultation, proposal, construction, portal communication, walkthrough, and warranty process.","/","Desktop/mobile Service navigation","START A PROJECT -> https://www.builtbykiefer.com/#contact","","A Design-Build Approach A practical process from consultation to construction, client portal communication, final walkthrough, and warranty support. START A PROJECT","Ready to talk through a project?","Kiefer branding, real construction photography where present, repeated EPS partnership footer, and direct phone/email paths where present.","Links/buttons only","/process#main-content | / | /careers | /#contact","https://epsbuildings.com | https://www.facebook.com/KieferBuiltContracting | https://www.instagram.com/kieferbuiltco | https://kbuiltco.com | https://nexgenstudio.io","screenshots/process--full.png | screenshots/process--hero.png","Canonical points to homepage instead of this route; Generic homepage title/description reused; Absent from runtime sitemap.xml","Runtime HTTP 200; 3 images; 6 buttons; forms were inspected but not submitted."
"https://www.builtbykiefer.com/products","Products and Finish Partners","Show cabinetry/material partners and route prospective suppliers to vendor interest.","/","Desktop/mobile Service navigation","START A PROJECT -> https://www.builtbykiefer.com/#contact","VENDOR INTEREST -> https://www.builtbykiefer.com/vendors","Products and Finish Partners Selected products, cabinetry, and supplier relationships that help Kiefer Built deliver practical finish options with confidence. START A PROJECT VENDOR INTEREST","Cabinetry and materials with a builder's filter. | Ready to talk through a project?","Named cabinetry partner/product finish cards and EPS footer.","Links/buttons only","/products#main-content | / | /careers | /#contact | /vendors","https://epsbuildings.com | https://www.facebook.com/KieferBuiltContracting | https://www.instagram.com/kieferbuiltco | https://kbuiltco.com | https://nexgenstudio.io","screenshots/products--full.png | screenshots/products--hero.png","Canonical points to homepage instead of this route; Generic homepage title/description reused; Absent from runtime sitemap.xml; Final card sits alone on a sparse second row at desktop width","Runtime HTTP 200; 7 images; 6 buttons; forms were inspected but not submitted."
