Route,Page Name,Purpose,Audience,CTA,SEO Status,Images,Internal Links,Status,Notes
/,Home,"Flagship landing: brand promise, story, project marquee, elevators, process, commercial, service areas, embedded quote form","Homeowner & commercial prospects","Start a Project → #contact quote form; View Projects","OK — unique title/desc, canonical, OG/Twitter, JSON-LD (HomeBuilder+WebSite), 1 H1",25,5,200 OK,"Marquee/carousel images lazy-load on scroll; quote form posts to /api/quote-request (Resend email)"
/about,Our Story,"Family-run builder story, values, accountability","Prospects vetting the builder","Ready to talk → contact","OK — full metadata set, 1 H1",5,4,200 OK,
/about/team,Our Team,"Leadership team bios and roles","Prospects wanting to know who builds","Ready to talk → contact","OK — full metadata set, 1 H1",7,3,200 OK,
/about/accolades,Accolades,"Awards, press, and performance recognition","Prospects validating credibility",Start a Project,"OK — full metadata set, 1 H1",6,3,200 OK,
/blog,Kiefer Built Journal,"Educational journal: SIPs, efficiency, modern builds","Researching homeowners",Start a Project,"OK — full metadata set, 1 H1",7,7,200 OK,"Posts render inline on the page; no per-post routes exist"
/careers,Careers,"Recruiting: culture, expectations, how to apply","Job seekers","Email your resume (mailto: with Careers subject)","OK — full metadata set, 1 H1",6,3,200 OK,"Application is email-based; no form backend"
/contact,Request a Quote,"Dedicated quote request with phone, email, location info and 9-field form","Ready-to-engage prospects","Send Quote Request → POST /api/quote-request (Resend email); mailto fallback on error","OK — full metadata set, 1 H1",2,3,200 OK,"Form renders and validates; nothing stored server-side; email-only delivery"
/flipbook,Project Lookbook,"Digital lookbook pages spanning custom homes, SIP/EPS builds, commercial, renovations","Prospects browsing the portfolio",Contact via nav / lookbook pages,"OK — full metadata set, 1 H1",7,4,200 OK,
/process,Our Process,"4-step design-build process from consultation to closeout","Prospects planning engagement",Start a Project,"OK — full metadata set, 1 H1",3,3,200 OK,
/products,Products & Finish Partners,"Cabinetry, materials, and supplier relationships","Prospects choosing finishes","Start a Project; Vendor Interest → /vendors","OK — full metadata set, 1 H1",7,4,200 OK,
/projects,Project Gallery,"Hub for project categories and case studies","All prospects",Start a Project,"OK — full metadata set, 1 H1",9,9,200 OK,
/projects/new-builds,New Builds,"Category showcase: new homes, cabins, barns, garages","New-build prospects",Start a Project,"OK — full metadata set, 1 H1",6,3,200 OK,
/projects/commercial,Commercial Work,"Commercial spaces: function, durability, schedule","Business owners",Start a Project,"OK — full metadata set, 1 H1",4,3,200 OK,
/projects/renovations-additions,Renovations & Additions,"Category showcase with kitchens/bathrooms/living/exteriors/elevators carousels","Renovation prospects",Start a Renovation → contact,"OK — full metadata set, 1 H1",28,4,200 OK,"Carousel slides lazy-load on swipe (all assets HTTP 200); arrows/chips verified working"
/projects/contemporary-ranch,Contemporary Ranch (case study),"Immersive single-project tour: phases, specifications, gallery","Prospects evaluating quality",Ready to Build → contact,"OK — full metadata set, 1 H1",30,1,200 OK,"Case-study page; gallery images lazy-load"
/projects/mountain-modern,Mountain Modern (case study),"Immersive build story with 0:23 build-timelapse video, phases, specs, gallery","Prospects evaluating quality",Start Your Project → contact,"OK — full metadata + page-level Project JSON-LD, 1 H1",13,1,200 OK,"Own layout; video click-to-play with controls (file serves, HTTP 200); missing <main> landmark (minor)"
/service-areas,Service Areas,"Six Northern Colorado communities served from Windsor","Local prospects / local SEO",Contact via CTA,"OK — full metadata set, 1 H1",2,3,200 OK,
/services,Services Overview,"One-stop overview of all services","All prospects",Start a Project,"OK — full metadata set, 1 H1",8,8,200 OK,
/services/home-building,Home Building,"Custom homes with EPS/SIP systems and modern design","New-build prospects",Start a Project,"OK — full metadata set, 1 H1",5,4,200 OK,
/services/custom-elevators,Custom Elevators,"Specialty service: residential elevators integrated into builds","Homeowners, designers, accessibility planners",Discuss an Elevator → contact,"OK — full metadata set, 1 H1",10,4,200 OK,
/testimonials,Testimonials,"Client trust: communication, craftsmanship, responsiveness","Prospects seeking social proof",Start a Project,"OK — full metadata set, 1 H1",3,3,200 OK,
/vendors,Vendor & Supplier Interest,"Vendor information and interest submission","Vendors & suppliers","Submit via mailto to marlys@kbuiltco.com (cc info@kbuiltco.com)","OK — full metadata set, 1 H1",2,3,200 OK,"Pure email flow; no backend, no portal"
/why-kiefer-built,Why Kiefer Built (hub),"Education hub: envelope, air, energy, cost; Homeowner Guide; sources & citations","Researching homeowners","Read topic pages; download Homeowner Guide PDF","OK — full metadata set, 1 H1",9,11,200 OK,"Links all six topic pages and the PDF guide"
